artist;id;name;degree
Adele (75798);75798;Adele;1
The Raconteurs (1202);1202;The Raconteurs;2
Pete Townshend (5432);5432;Pete Townshend;3
Ashley Monroe (247289);247289;Ashley Monroe;3
Ricky Scaggs (62351);62351;Ricky Scaggs;3
Rosanne Cash (70088);70088;Rosanne Cash;4
Rodney Crowell (64752);64752;Rodney Crowell;4
the Americans (418571);418571;the Americans;4
Ruston Kelly (4419770);4419770;Ruston Kelly;4
Tyler Cain (1072296);1072296;Tyler Cain;4
Blake Shelton (8638);8638;Blake Shelton;4
Angaleena Presley (1000619);1000619;Angaleena Presley;4
Miranda Lambert (5057);5057;Miranda Lambert;4
Pistol Annies (1364566);1364566;Pistol Annies;4
THE JONES GANG (1140594);1140594;THE JONES GANG;4
Sam Brown (67687);67687;Sam Brown;4
London Oriana Choir (5640634);5640634;London Oriana Choir;4
Robert Ziegler (4455202);4455202;Robert Ziegler;4
Royal Philharmonic Orchestra (94226);94226;Royal Philharmonic Orchestra;4
Alfie Boe (242283);242283;Alfie Boe;4
Roger Daltrey (156041);156041;Roger Daltrey;4
The Wild Things (898364);898364;The Wild Things;4
London Symphony Orchestra (68382);68382;London Symphony Orchestra;4
Nathan Barr (159534);159534;Nathan Barr;4
Vicki Brown (77332);77332;Vicki Brown;4
Margo Newman (4568566);4568566;Margo Newman;4
Ronnie Lane  (110675);110675;Ronnie Lane;4
Jean-Michel Jarre (2047);2047;Jean-Michel Jarre;4
